Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.401,8.684,8.976,9.276,9.586,9.904,10.233,10.57,10.918,11.275,11.643,12.021,12.41,12.809,13.219,13.641,14.074,14.517,14.973,15.442,15.995,16.562,17.147,17.747,18.365,18.997,19.647,20.314,20.998,21.088,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,..
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.0608410184181,54.7379275220543,54.5585327437771,54.4650251147282,54.3910324921617,54.3093030356598,53.9555920115076,53.6516413674482,53.393648227899,53.1902620358634,53.0431438558708,52.6932681041999,52.435300348607,52.2524265703017,52.1368167921405,52.098050619584,51.8164630355356,51.5840418558342,51.4111026610954,51.3305067102844,51.3855003001907,51.0823568122288,50.8326859448704,50.6290054100702,50.4324953876882,50.184634075734,49.9905037235714,49.9205138267508,49.8952358860235,49.7877768890856,49.4592383624383,49.5403081295407,49.609845566056,49.6283557221484,49.6618855525156,49.8129416287879,49.5590591784405,49.3043750399724,49.1036649792922,48.9534200948656,48.8146821121299,48.9054698415161,49.0987475205491,49.3429401308761,49.6124348901778,49.9128702789013,49.7584368719628,49.6031296207573,49.4856807572365,49.4439988035843,49.4937230317774,49.9439477089217,50.5239466960637,51.1931217965001,51.9078359358186,52.6442988256708,53.2079642015981,53.7632225246819,54.3248975483403,54.9119343971364,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.86836190347819,-2.87518352770836,7.20793301758572,2.25335741303414,11.0227739357486,1.59421129024308,18.5153687132188,11.264133238155,-2.6810808487635,8.97487956759649,1.97416862890181,-0.665270517698119,-1.6228866716696,-0.541697283221509,0.08207892887539,-0.559824440560746,0.549627730870014,..
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374,31.446,31.548,31.74,31.933,32.127,32.321,32.516,32.712,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888,36.158,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,..
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.4334358134332,54.0673548699358,53.693762854739,53.3519716872755,53.1102702597153,53.0089322112826,52.9532864777727,53.0619290152796,53.291853933955,53.5809144894413,53.8947425195529,54.2746785130613,54.6391926376275,55.0229589513895,55.4750924816626,56.0080887926188,56.4727221242499,57.0333328701287,57.6374448568708,58.2116113956015,58.7200161032397,59.1733143930675,59.5686088288789,59.9195886210658,60.2482662681551,60.5582030608094,60.8179062430606,61.0436065991358,61.2463319792676,61.4611754414236,61.7303389182164,61.4569891735599,61.2324955343472,61.0713135551182,60.9469067245423,60.8253108962086,61.2176073837416,61.5670543966098,61.8880039811205,62.2227196554773,62.608145164821,63.0173652204809,63.4747697434606,63.9726839731458,64.4856246207598,64.9983964027588,65.5224041885446,65.9611838900355,66.333786040328,66.6470907970541,66.8995119780273,67.5137062451854,68.0118980294403,68.3729539670568,68.5990253098344,68.7047247322534,68.660092473838,68.6426142157412,68.5823903647225,68.3978052821376,..
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.64864854696172,0.795840071464539,-1.01680217240636,-3.30749720294656,-0.290595347809159,3.61465554380214,-2.74949637957361,-3.26252233364251,6.9236172837285,-11.1879052985212,-27.5668208371351,-6.62255121373251,10.2299493626078,8.96976165264667,14.0244959282552,9.78017988648612,-10.3611049779492,9.51715258016593,13.6071564539776,7.63386640301194,9.31112396132059,4.85392213495177,5.9256301532766,5.95188082344076,6.0713909118125,6.57033160600662,6.78392659121043,8.32803599940446,4.048888488418,4.2230377474626,2.82155792832297,1.58515647484656,1.18720390657059,1.98542610277401,2.51685298606618,3.48011700478818,3.89771066605221,4.32839557846701,2.65043141253594,..
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.51,31.797,33.214,34.662,36.141,37.643,38.84,39.004,39.169,39.334,39.5,39.665,39.831,39.997,40.163,40.33,40.497,40.928,41.794,42.665,43.542,44.42,45.303,46.189,47.079,47.968,48.86,49.722,50.511,51.298,52.085,52.871,53.657,54.439,55.219,55.997,56.774,57.544,58.313,59.118,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,..
Algeria,DZA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,52.1785628923057,51.6034497556927,50.8787479470436,50.1445629546631,49.5910012334643,49.2947947495336,49.0208931871006,49.031097942859,49.2171270156591,49.4282208110785,49.5917347995867,49.5731580628351,49.5301122138638,49.4919453272077,49.5118250172998,49.6097444397351,49.6183058669594,49.7180443003044,49.8773302745634,50.0554676244911,50.2317983379692,50.3339562893037,50.4832272701449,50.6761792494743,50.9213812528502,51.2256379443517,51.5130664625204,51.869444312182,52.2874189655665,52.7620997052918,53.2918001951095,53.8282998577412,54.4198075752083,55.0742803237066,55.8077838150968,56.6291631987651,57.4494851690872,58.3667527048989,59.3508031761528,60.3504815891479,61.3298720275779,62.4020834100387,63.3902743826744,64.3023495081554,65.1422789002979,65.8877914036328,66.4493851877539,66.8636951498072,67.1322166315084,67.2630781770052,67.2610138766069,67.018247644085,66.7653811888783,66.4464122345876,66.0025981091413,65.4288452547037,64.8575664184352,64.1832049427207,63.4888248687945,62.8968435084768,..
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-15.7277147619417,-21.6444862488349,31.0105125128121,3.16458887871083,3.42108884595366,-7.40010834520847,6.3825223388142,7.64547979514268,5.36313583056815,5.82772263097323,-13.7598310808488,23.9750340084279,1.01240305002248,4.57141192799911,2.14413391588218,5.35388386883349,2.2827204039779,6.08141386887795,4.33352139713294,-2.21842943523029,-0.131085590667468,3.12989853434344,2.1585016800544,2.38933294602701,0.612195641789143,-2.51558731484901,-3.5063564960172,-3.71030486504461,1.64417650017919,-1.75407287637005,-3.60113382298752,-0.564732606362512,-4.25099388017846,-2.93111329840168,1.83641035678363,2.29084762853195,-0.519933001569854,3.53435133227684,1.748716639227,2.39950644017739,1.65965953181141,4.26207860084126,5.84090837354769,2.93450375530904,4.43827712390488,0.214819130943411,1.80824940601849,0.73817114773162,-0.134667549342865,1.74677646290581,0.980204694999088,1.40179670279362,0.76167496246353,1.71044951701806,1.60047830019792,1.10456792059269,-0.750499558831436,-0.615183263534163,-1.13069230350069,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.211,66.641,67.068,67.493,67.916,68.334,68.75,69.163,69.574,69.98,70.384,70.784,71.182,71.576,71.967,72.354,72.739,73.12,73.497,73.871,74.33,75.043,75.743,76.429,77.103,77.762,78.408,79.04,79.659,80.263,80.948,81.886,82.789,83.654,84.485,85.28,86.043,86.771,87.467,88.131,88.587,88.491,88.394,88.297,88.198,88.1,88,87.9,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,..
